sos,eos,tos,anomaly_true,anomaly_pred,mse
77,98,75,0,0,0.011697173118591309
75,96,75,0,0,0.002083269879221916
77,96,75,0,0,0.0012853916268795729
73,96,75,0,0,0.0021338046062737703
75,96,75,0,0,0.0019323218148201704
76,96,75,0,1,0.0011285442160442472
89,98,75,0,0,0.002097651595249772
75,98,75,0,1,0.00486980564892292
89,97,75,0,1,0.00947298388928175
79,96,75,0,0,0.002688876586034894
71,97,75,0,0,0.00014072559133637697
72,97,75,0,0,0.003637283807620406
71,97,75,0,0,0.0005799932987429202
76,95,75,1,1,0.0008730841218493879
75,97,75,0,0,0.0025802799500524998
75,97,75,0,0,0.0008209134102798998
77,97,75,0,0,0.0012775200884789228
75,95,75,0,0,0.003570535685867071
72,97,75,0,0,0.004753531888127327
81,94,75,0,0,0.0003568218962755054
74,97,75,0,0,0.002913655946031213
76,95,75,1,1,0.000589487433899194
75,97,75,0,0,0.002590487478300929
75,96,75,0,1,0.001003912417218089
71,96,75,0,0,0.000310902192723006
76,96,75,0,1,0.0020589346531778574
72,96,75,0,0,0.003380293259397149
77,96,75,0,1,0.002214288106188178
74,94,75,0,0,0.005725430324673653
73,96,75,0,1,0.0025261160917580128
73,97,75,0,0,0.004476770292967558
79,96,75,0,0,0.011686478741466999
78,96,75,0,1,0.0012482245219871402
78,96,75,0,1,0.008822925388813019
74,96,75,0,0,0.0003773151256609708
74,97,75,0,1,0.0028085627127438784
76,96,75,0,0,0.001222344464622438
79,98,75,0,1,0.006282747723162174
72,90,75,0,0,0.000278341380180791
76,94,75,0,0,0.007598252967000008
76,97,75,0,1,0.0010490595595911145
76,96,75,0,0,0.005998922511935234
80,96,75,0,0,0.004271458834409714
79,97,75,0,0,0.00024389009922742844
87,98,75,0,0,0.008329913020133972
74,96,75,0,0,0.008921561762690544
73,98,75,0,0,0.005580576602369547
77,97,75,0,0,0.00040246229036711156
79,96,75,1,1,0.0018224891973659396
77,95,75,1,1,0.002118942327797413
72,97,75,0,0,0.0073637221939861774
78,96,75,0,1,0.003809309797361493
78,97,75,0,1,0.009350523352622986
72,94,75,0,0,0.004435316193848848
80,97,75,0,1,0.0060908677987754345
76,95,75,1,0,0.0018062351737171412
71,94,75,1,1,0.0007372679538093507
76,96,75,1,1,0.002059453632682562
80,97,75,0,1,0.0013224983122199774
76,96,75,0,0,0.004215526394546032
78,97,75,0,0,0.0016623430419713259
79,97,75,0,1,0.004263364244252443
82,96,75,0,0,0.011056462302803993
89,98,75,0,0,0.004030402284115553
75,96,75,1,1,0.0012378038372844458
73,96,75,0,0,0.00479912618175149
76,96,75,0,0,0.0014567187754437327
76,95,75,0,1,0.0011452166363596916
89,95,75,0,0,0.0007393941632471979
